R	8.6	0.25	-3.00029	0	1477010443399637
L	8.45	0.25	-3.00027	0	1477010443449633
R	8.45	0.25	0	0	1477010443499690
L	8.45	0.25	0	0	1477010443549747
R	8.35	0.25	-1.81979	0	1477010443604698
L	8.25	0.25	-1.81978	0	1477010443659650
R	8.05	0.2	-3.99976	-0.99994	1477010443709653
L	7.85	0.15	-3.99972	-0.99993	1477010443759657
R	7.7	0.15	-2.99982	0	1477010443809660
L	7.55	0.15	-2.99982	0	1477010443859663
R	7.45	0.100001	-1.8165	-0.908239	1477010443914714
L	7.35	0.0500011	-1.81648	-0.90823	1477010443969766
R	7.2	9.49949e-07	-2.72851	-0.909507	1477010444024741
L	7.05	-0.0499992	-2.72849	-0.909499	1477010444079717
R	6.95	-0.15	-1.81898	-1.81898	1477010444134693
L	6.85	-0.25	-1.81896	-1.81897	1477010444189670
R	6.75	-0.349999	-2.00076	-2.00075	1477010444239651
L	6.65	-0.449999	-2.00076	-2.00075	1477010444289632
R	6.6	-0.549999	-0.998836	-1.99769	1477010444339690
L	6.55	-0.65	-0.99884	-1.99769	1477010444389748
R	6.5	-0.85	-0.908747	-3.63498	1477010444444769
L	6.45	-1.05	-0.908739	-3.63494	1477010444499791
R	6.35	-1.15	-1.81897	-1.81898	1477010444554767
L	6.25	-1.25	-1.81896	-1.81896	1477010444609744
R	6.3	-1.45	0.909739	-3.63894	1477010444664705
L	6.35	-1.65	0.909727	-3.63891	1477010444719667
R	6.3	-1.8	-0.999494	-2.9985	1477010444769692
L	6.25	-1.95	-0.999489	-2.99847	1477010444819718
R	6.3	-2.1	0.999984	-2.99994	1477010444869719
L	6.35	-2.25	0.999979	-2.99994	1477010444919720
R	6.35	-2.4	0	-2.72613	1477010444974743
L	6.35	-2.55	0	-2.72611	1477010445029767
R	6.4	-2.7	0.909499	-2.72851	1477010445084742
L	6.45	-2.85	0.909503	-2.72851	1477010445139717
R	6.45	-3	0	-2.99754	1477010445189758
L	6.45	-3.15	0	-2.99754	1477010445239799
R	6.5	-3.3	0.910402	-2.7312	1477010445294720
L	6.55	-3.45	0.910402	-2.7312	1477010445349641
R	6.65	-3.6	1.81722	-2.72583	1477010445404670
L	6.75	-3.75	1.81721	-2.72581	1477010445459700
R	6.8	-3.9	0.907988	-2.72396	1477010445514767
L	6.85	-4.05	0.907976	-2.72393	1477010445569835
R	6.9	-4.2	0.909334	-2.72801	1477010445624820
L	6.95	-4.35	0.90933	-2.72799	1477010445679806
