L	0	0	0	
R	0	0	0	
L	1.513933e+00	4.457503e-01	0	
R	2.293447e+00	2.121791e-02	2.278406e+00	
L	4.057535e+00	2.545227e-01	0	
R	4.297653e+00	4.167037e-01	2.332517e+00	
L	7.018710e+00	1.191024e+00	0	
R	6.204895e+00	2.920898e-01	2.424687e+00	
L	9.295644e+00	5.934103e-01	0	
R	9.238244e+00	3.434802e-01	2.496681e+00	
L	1.179978e+01	9.559770e-01	0	
R	1.160045e+01	2.414481e-01	2.322253e+00	
L	1.494772e+01	2.576711e+00	0	
R	1.395261e+01	2.007602e-01	2.560158e+00	
L	1.674251e+01	2.457913e+00	0	
R	1.642661e+01	1.046780e-01	2.493385e+00	
L	1.903825e+01	3.291795e+00	0	
R	1.899050e+01	2.911077e-01	2.842896e+00	
L	2.209604e+01	4.444913e+00	0	
R	2.246638e+01	1.721029e-01	2.826068e+00	
L	2.348741e+01	7.035326e+00	0	
R	2.557275e+01	9.349035e-02	2.927884e+00	
L	2.556210e+01	7.117049e+00	0	
R	2.797121e+01	2.708631e-01	2.882240e+00	
L	2.895007e+01	8.009658e+00	0	
R	3.041431e+01	3.086046e-01	3.206585e+00	
L	3.151481e+01	8.606719e+00	0	
R	3.372503e+01	2.628569e-01	3.101297e+00	
L	3.508586e+01	1.042854e+01	0	
R	3.602119e+01	4.485983e-01	3.054074e+00	
L	3.709951e+01	1.253553e+01	0	
R	3.965888e+01	1.411921e-01	2.926931e+00	
L	4.047390e+01	1.386582e+01	0	
R	4.209417e+01	4.537985e-01	3.055576e+00	
L	4.316483e+01	1.434406e+01	0	
R	4.519846e+01	3.265774e-01	3.019607e+00	
L	4.575411e+01	1.630032e+01	0	
R	4.828338e+01	3.857978e-01	2.978151e+00	
L	4.840872e+01	1.685153e+01	0	
R	5.081340e+01	4.418478e-01	2.900677e+00	
L	5.151763e+01	1.888409e+01	0	
R	5.380652e+01	3.767091e-01	2.797628e+00	
L	5.290009e+01	1.895011e+01	0	
R	5.709241e+01	3.839180e-01	2.824054e+00	
L	5.552658e+01	2.093136e+01	0	
R	5.949304e+01	3.352588e-01	2.842475e+00	
L	5.798985e+01	2.206710e+01	0	
R	6.270005e+01	7.636621e-01	2.493108e+00	
L	6.177080e+01	2.344616e+01	0	
R	6.497386e+01	6.808424e-01	2.594823e+00	
L	6.311709e+01	2.307642e+01	0	
R	6.773676e+01	8.158668e-01	2.353036e+00	
L	6.559335e+01	2.363779e+01	0	
R	7.066074e+01	2.639859e-01	2.327702e+00	
L	6.821683e+01	2.344740e+01	0	
R	7.275118e+01	1.467556e-01	2.283795e+00	
L	7.073379e+01	2.372105e+01	0	
R	7.500052e+01	2.868278e-01	2.200009e+00	
L	7.305316e+01	2.451753e+01	0	
R	7.742482e+01	1.077028e-01	2.024338e+00	
L	7.554466e+01	2.525498e+01	0	
R	7.894092e+01	2.444913e-01	2.104144e+00	
L	7.720793e+01	2.439622e+01	0	
R	8.134030e+01	7.731351e-02	1.845356e+00	
L	7.886208e+01	2.481246e+01	0	
R	8.296257e+01	2.806542e-01	1.868846e+00	
L	7.977229e+01	2.460430e+01	0	
R	8.436318e+01	-3.708884e-02	1.501662e+00	
L	8.225294e+01	2.432771e+01	0	
R	8.634375e+01	4.039962e-02	1.450906e+00	
L	8.391258e+01	2.451372e+01	0	
R	8.816550e+01	2.178745e-02	1.341091e+00	
L	8.623112e+01	2.304226e+01	0	
R	8.958467e+01	3.145831e-01	1.304907e+00	
L	8.694680e+01	2.353488e+01	0	
R	9.029958e+01	1.554775e-01	1.170980e+00	
L	8.943083e+01	2.353228e+01	0	
R	9.175763e+01	1.628751e-01	9.721752e-01	
L	9.018330e+01	2.239767e+01	0	
R	9.238236e+01	2.885257e-01	1.064862e+00	
L	9.065525e+01	2.194609e+01	0	
R	9.314037e+01	4.233338e-01	1.110348e+00	
L	9.185815e+01	2.096061e+01	0	
R	9.435261e+01	2.828351e-01	9.502763e-01	
L	9.215592e+01	2.093400e+01	0	
R	9.466200e+01	1.510147e-01	9.634675e-01	
L	9.328835e+01	2.042964e+01	0	
R	9.601263e+01	1.681928e-01	7.868437e-01	
L	9.528011e+01	1.923542e+01	0	
R	9.659569e+01	3.606330e-01	6.743983e-01	
L	9.536458e+01	1.919826e+01	0	
R	9.758684e+01	5.678990e-01	6.151585e-01	
L	9.553498e+01	1.994767e+01	0	
R	9.864514e+01	-6.264198e-03	8.110420e-01	
L	9.573778e+01	1.896413e+01	0	
R	9.975702e+01	3.559258e-01	8.989925e-01	
L	9.918278e+01	1.757216e+01	0	
